entry,KCL_control_1,KCL_control_2,KCL_control_3,KCL_KCL_1,KCL_KCL_2,KCL_KCL_3,NaCl_control_1,NaCl_control_2,NaCl_control_3,NaCl_KCL_1,NaCl_KCL_2,NaCl_KCL_3,Sorb_control_1,Sorb_control_2,Sorb_control_3,Sorb_KCL_1,Sorb_KCL_2,Sorb_KCL_3,FC_kcl,FC_nacl,FC_sorb,log2_FC_kcl,log2_FC_nacl,log2_FC_sorb,pval_kcl,pval_nacl,pval_sorb,adj_pval_kcl,adj_pval_nacl,adj_pval_sorb,neg_log10_adj_pval_kcl,neg_log10_adj_pval_nacl,neg_log10_adj_pval_sorb,uniprot
G4MT89_MAGO7,4059.5,2977.6666666667,3316.3333333333,2717,2502.3333333333,5065,3675,4390,4046.3333333333,3848,3874.5,4095.6666666667,4604,3715.3333333333,3810.5,7922.5,5284.6666666667,5119.6666666667,0.8192783194290967,0.957533569486786,1.3868696146612518,-0.2875744576121137,-0.06260502854621072,0.4718321603192924,0.9803704977688712,0.6810524828333795,0.09551731747673896,0.9898059364078606,0.8475698607489793,0.23660394526743264,0.004449945815380958,0.07182449502770077,0.6259780179769372,G4MT89
G4MUG1_MAGO7,13342.5,12546.5,11922,11473,11917,12598,12878,11425,11322.5,8046,10553,9215.5,16190,10338,15188,13318.3333333333,16688,15799,0.9498266448810425,0.8066083150984683,1.040229128259152,-0.07426386711965752,-0.31005981672912736,0.05690134163035113,0.31177809319887617,0.04179963079043757,0.5460448456222704,0.6111766034679855,0.1818827888957344,0.6947282689199173,0.21383327939839084,0.7402083951710089,0.15818502905691573,G4MUG1
G4MNC0_MAGO7,4345,4376,4690,4396.5,4004,5306,5985.5,5855.5,5655,5160.5,4912,4732.5,7818,7957,7317,8061.5,7672,7991,1.004684643510055,0.8388694389889847,1.0221284215911999,0.006742730618141165,-0.2534818067257774,0.03157646981104598,0.8180715781947218,0.0046383293535525024,0.40805848640706777,0.9250663407659393,0.064646715365138,0.5929026413289938,0.03382712088751022,1.1894535362906948,0.2270166149070994,G4MNC0
G4MSX1_MAGO7,3217,3570.3333333333,3616.3333333333,3375,4051,3421.6666666667,4135.6666666667,3503,4098.3333333333,3526.3333333333,2878,3957,5924.6666666667,5979.6666666667,6438,5976,6660.6666666667,7251,0.958360563906283,0.8604310695404623,1.1138859468197775,-0.06135955177256656,-0.21686847451660318,0.15560151958887633,0.588328264587455,0.28809844335309137,0.2700442334946888,0.79628300015301,0.5298635288060979,0.4574533869590677,0.09893255592833461,0.2758359725093829,0.3396531525654351,G4MSX1
G4MXS3_MAGO7,4757.5,5462,5369.5,3702,4415,5323,6998,7071.3333333333,6685.3333333333,7602.5,3420,6806.5,4561.5,4918.5,3465,3046,NA,NA,0.8222367073284291,0.9726350385824521,0.6677627973254412,-0.2823743149356773,-0.04002953016802461,-0.5825923752646618,0.2392922142368253,0.4910138131576168,0.28389915615526745,0.5357333614545,0.7152031774553834,0.46867580622067684,0.27105130818292816,0.14557056475426103,0.3291274648626605,G4MXS3
PACC_MAGO7,7082,5759,5220.5,9013.5,8118,8430.5,6757,6996,6566.5,10772.5,12253,10068,6656,6586,6826,12066.5,12443.5,10252.5,1.463882618510158,1.5942726061861774,1.8128756009615385,0.5497998756966812,0.6728983382158927,0.8582799311309809,0.015045499689951218,0.0029011525836636462,0.001969483438252697,0.16979718591006937,0.05103933985526721,0.025158349813850227,0.7700695117001688,1.2920949514316586,1.5993178485305144,PACC
G4MLR7_MAGO7,7562.6666666667,7509,7362.6666666667,6946.6666666667,5247.3333333333,5057.6666666667,7991,6852,7439.6666666667,7326.6666666667,5663.3333333333,5079.6666666667,6942,7277,7590.6666666667,4009,4976.3333333333,5156,0.6988058773915702,0.7612348223486637,0.683844074939302,-0.5170363526200774,-0.3935865363223882,-0.5482606849163212,0.04581599783389072,0.1341339828296891,0.003147789276361708,0.2618471268607805,0.3552288876496057,0.032616470221822506,0.5819521870684128,0.44949172409645655,1.4865630404180923,G4MLR7
G4MWQ4_MAGO7,6706,6693,7660.6666666667,6212,6352.6666666667,9278.3333333333,5691,5576.3333333333,5218,4767.5,4052.3333333333,4803.6666666667,7818,6878.6666666667,6944,9080,7502.3333333333,11617.5,0.9473108658912466,0.8549524777332826,1.3076036866359446,-0.07809016224002903,-0.22608386441389886,0.38692534973379794,0.815787090140502,0.02805108388611914,0.15171239720884022,0.9248659665999666,0.1523872018253912,0.31723421108938926,0.03392120151369502,0.8170515055030132,0.4986199837561569,G4MWQ4
G4NIG6_MAGO7,6211,6276.3333333333,5898.3333333333,7343,7883.6666666667,6105.3333333333,4465.5,4209,4143,4576,4661.3333333333,6492.3333333333,14077.3333333333,9621.3333333333,12066.6666666667,9381.3333333333,12639.3333333333,14014.3333333333,1.1822572854612783,1.1074681238615587,1.047458563535906,0.24154403218816525,0.1472651744383767,0.06689317341038496,0.142591050281087,0.1997720302416163,0.9642214278731196,0.4178699489457611,0.42612229647496613,0.9807793230283536,0.37895885995544243,0.37046574112762504,0.008428698605988228,G4NIG6
G4MSI6_MAGO7,13048.3333333333,14345,15205,9589,9688,11114.3333333333,6516.3333333333,6553,5932.6666666667,5603.3333333333,5387,4940.6666666667,9106,9957,9177.3333333333,9769.3333333333,9511.3333333333,8909.6666666667,0.6753572673405368,0.8266919023991038,1.0363940142379777,-0.566277197961698,-0.27457833949165344,0.051572588274292896,0.006966434538802728,0.02167637395367001,0.9665048149548969,0.13675413888127963,0.13380848143026747,0.981977733662008,0.8640595208182973,0.8735163580059816,0.007898359725633372,G4MSI6
G4MR34_MAGO7,10992,10635.3333333333,8646.6666666667,5761.6666666667,5803.3333333333,8451,11431,11846,12646,8359.5,12084,8451.5,6326.6666666667,7602,5043,6098,5207.3333333333,7018,0.5456653920892608,0.7134475772412628,0.9638566912539465,-0.8739115487844415,-0.48712066775474316,-0.0531094361775748,0.041064405281940226,0.14054539569222765,0.8229899474715862,0.2533275540616708,0.36076688620853836,0.8939200101815455,0.5963175700747475,0.4427733319862179,0.048701341037395415,G4MR34
